@relation topic-3.txt

@attribute automatic {0,1}
@attribute acquisition {0,1}
@attribute proof {0,1}
@attribute method {0,1}
@attribute formal {0,1}
@attribute learning {0,1}
@attribute theory {0,1}
@attribute robot {0,1}
@attribute challenge {0,1}
@attribute concept {0,1}
@attribute based {0,1}
@attribute knowledge {0,1}
@attribute representation {0,1}
@attribute language {0,1}
@attribute integrating {0,1}
@attribute description {0,1}
@attribute logic {0,1}
@attribute action {0,1}
@attribute semantic {0,1}
@attribute mapping {0,1}
@attribute database {0,1}
@attribute diagnosis {0,1}
@attribute solving {0,1}
@attribute space {0,1}
@attribute resolution {0,1}
@attribute heuristic {0,1}
@attribute theorem {0,1}
@attribute function {0,1}
@attribute using {0,1}
@attribute object {0,1}
@attribute model {0,1}
@attribute technology {0,1}
@attribute discovery {0,1}
@attribute plan {0,1}
@attribute abstraction {0,1}
@attribute analysis {0,1}
@attribute integration {0,1}
@attribute dynamic {0,1}
@attribute system {0,1}
@attribute software {0,1}
@attribute engineering {0,1}
@attribute application {0,1}
@attribute perspective {0,1}
@attribute base {0,1}
@attribute reasoning {0,1}
@attribute planning {0,1}
@attribute constraint {0,1}
@attribute implementation {0,1}
@attribute level {0,1}
@attribute support {0,1}
@attribute proving {0,1}
@attribute type {0,1}
@attribute structure {0,1}
@attribute fuzzy {0,1}
@attribute information {0,1}
@attribute expert {0,1}
@attribute domain {0,1}
@attribute panel {0,1}
@attribute modeling {0,1}
@attribute rule {0,1}
@attribute role {0,1}
@attribute programming {0,1}
@attribute approach {0,1}
@attribute default {0,1}
@attribute qualitative {0,1}
@attribute management {0,1}
@attribute environment {0,1}
@attribute heterogeneous {0,1}
@attribute architecture {0,1}
@attribute world {0,1}
@attribute machine {0,1}
@attribute goal {0,1}
@attribute process {0,1}
@attribute production {0,1}
@attribute reinforcement {0,1}
@attribute hierarchy {0,1}
@attribute simulation {0,1}
@attribute tool {0,1}
@attribute design {0,1}
@attribute mechanism {0,1}
@attribute network {0,1}
@attribute data {0,1}
@attribute incremental {0,1}
@attribute oriented {0,1}
@attribute change {0,1}
@attribute extended {0,1}
@attribute distributed {0,1}
@attribute towards {0,1}
@attribute view {0,1}
@attribute multiple {0,1}
@attribute deductive {0,1}
@attribute set {0,1}
@attribute complex {0,1}
@attribute semantics {0,1}
@attribute relational {0,1}
@attribute specification {0,1}
@attribute schema {0,1}
@attribute framework {0,1}
@attribute maintenance {0,1}
@attribute intelligence {0,1}
@attribute conceptual {0,1}
@attribute functional {0,1}
@attribute dependency {0,1}
@attribute logical {0,1}
@attribute physical {0,1}
@attribute probabilistic {0,1}
@attribute intelligent {0,1}
@attribute representing {0,1}
@attribute experience {0,1}
@attribute automated {0,1}
@attribute human {0,1}
@attribute relation {0,1}
@attribute technique {0,1}
@attribute program {0,1}
@attribute practical {0,1}
@attribute revision {0,1}
@attribute belief {0,1}
@attribute temporal {0,1}
@attribute inductive {0,1}
@attribute dbms {0,1}
@attribute decomposition {0,1}
@attribute active {0,1}
@attribute property {0,1}
@attribute game {0,1}
@attribute propagation {0,1}
@attribute explanation {0,1}
@attribute inference {0,1}
@attribute causal {0,1}
@attribute abstract {0,1}
@attribute update {0,1}
@attribute satisfaction {0,1}
@attribute complexity {0,1}
@attribute computer {0,1}
@attribute computational {0,1}
@attribute issue {0,1}
@attribute artificial {0,1}
@attribute report {0,1}
@attribute calculus {0,1}
@attribute research {0,1}
@attribute integrity {0,1}
@attribute algebra {0,1}
@attribute business {0,1}
@attribute incomplete {0,1}
@attribute fault {0,1}
@attribute form {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
